Fullstate,State,Type,Bill Number,Year,Elected,MoreDefined,Description,Last Action,curbing,RichardLastAction,Richard Description,Date Signed,Unsure,Very interesting,Notes,election,judicial,governor,lower,upper,less,more,outside,how_much_less,how_much_more,distance_closest_branch
Arizona,AZ,Rule Making Authority,HB 2221,2016,Elected,Retention,Establishes the Supreme Court as the entity responsible for regulation of attorneys. Specifies limited reasons Supreme Court may collect assessment/fees from attorneys.,Approved by Senate Government Committee 3/9/16.,0,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HB 2240,2013,Elected,Retention,"CONFERENCE COMMITTEE: Increases small claims jurisdiction from $2,500 to $3,500.",Senate approved conference committee report 5/14/13. To Governor for signature,1,Passed Legislature,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Salary & Budget,HB 2245,2017,Elected,Retention,ORIGINAL: Requires supreme court report to the governor and the legislature the number of fees that were collected by every court including the revenue and collection rates for each court. AMENDED: Provides specifics pertaining to offenses not bailable.,Approved as amended by House Judiciary Committee 2/15/17,1,Introduced,,,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Salary & Budget,HB 2254,2017,Elected,Retention,Modifies the current Judicial Productivity Credits formula for justices of the peace by changing the weight given to specific types of filings.,Signed into law by Governor 4/26/17.,0,Enacted,,2017-04-26T00:00:00Z,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Salary & Budget,HB 2283,2012,Elected,Retention,"Specifies that for state benefits purposes, ""state employee"" includes only those employed by the judicial branch whose salaries are paid for by the state.",Approved by full Senate 3/13/12. To Governor for approval.,0,Passed Legislature,,,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Other,HB 2288,2013,Elected,Retention,"Permits carrying of firearms into courts of state. Provides courts may only restrict carrying of firearms if provide lockers, warning signs, etc.",In House (no committee).,1,Introduced,,,,1,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HB 2291,2013,Elected,Retention,"Expressly prohibits state judges from enforcing federal laws, rules, or regulations regarding firearms put in place after 1/1/2013.",In House (no committee).,1,Introduced,,,,1,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Salary & Budget,HB 2294,2013,Elected,Retention,Changes laws regarding full time court commissioners in Superior Court eligibility to enter state retirement system.,Approved by full Senate 4/15/13. To Governor for signature.,0,Passed Legislature,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Rule Making Authority,HB 2295,2017,Elected,Retention,"Establishes the Supreme Court as the entity responsible for licensing attorneys for the practice of law in Arizona. Provides all regulatory functions relating to the practice of law, including the regulation of attorneys in this state, are within the authority of the supreme court alone.",Approved by full House 2/23/17.,0,Introduced,,,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Rule Making Authority,HB 2300,2017,Elected,Retention,Provides all regulatory functions relating to the practice of law within the authority of the supreme court. Provides all regulatory functions that are administered by the state bar including all public protection functions are transferred to and placed exclusively in the supreme court.,Approved by House Rules Committee 2/13/17.,0,Introduced,,,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2310,2013,Elected,Retention,"Requires administrative office of the courts evaluate the effectiveness, efficiency and accountability of the mental health courts and specialized probation caseloads that currently operate in state and municipal courts. Requires AOC develop standards for the design, training in and procedures to establish and implement efficient, effective and accountable mental health courts at the county and municipal levels throughout the state.",Approved by full House 4/23/13. To Governor for signature.,0,Passed Legislature,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2310,2015,Elected,Retention,"Provides presiding judge of the superior court in county with population of 250,000 may establish a regional mental health court to adjudicate cases filed in the superior court in the county.","Signed by Governor, became law 3/23/2015.",0,Enacted,,2015-03-23T00:00:00Z,,,,AZ2015,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Qualification & Terms,HB 2352,2011,Elected,Retention,Removes the requirement that an appointed court commissioner have engaged in active general practice for at least three years before being appointed. Requires that an appointed commissioner be an Arizona resident for five years before taking office. Increases the term in which an appointed commissioner must have been admitted to practice law in Arizona from three to five years.,Approved by full Senate 4/19/11. To Governor for approval.,1,Passed Legislature,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Salary & Budget,HB 2355,2011,Elected,Retention,Redefines for budget and other purposes various assessments as surcharges.,House concurs with Senate amendments 4/19/11. To Governor for approval.,0,Passed Legislature,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Salary & Budget,HB 2373,2011,Elected,Retention,"Permits counties to create Judicial Facility Districts for the purpose of acquiring, constructing, operating, maintaining and financing county judicial facilities. Permits imposition of Judicial Facility Tax to fund special county judicial facility district general fund.",In House Ways & Means Committee.,0,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Other,HB 2376,2012,Elected,Retention,Permits the payment of court fees by alternative methods and permits the court to impose a convenience fee when accepting alternative payment methods.,Signed into law by Governor 4/4/12.,0,Enacted,,2012-04-04T00:00:00Z,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HB 2379,2010,Elected,Retention,"Enacts the ""Arizona Foreign Decisions Act"" Declares the acceptance of Arizona into the Union was a ""compact"". Declares ""Congress has no authority to preempt state regulation of state courts."" Prohibits courts from implementing, referring or incorporating or using ""a tenet of any body of religious sectarian law"" and specifically includes sharia law, canon law, halacha and karma, but exempts decisions based on Anglo-American legal tradition, laws or case law from Great Britain prior enactment of the statute, or the definition of marriage as between one man and one woman, ""and the principles on which the United States was founded."" Prohibits use of any case law or statute from a non-U.S. jurisdiction or ""foreign body"", including the United Nations. Decisions that make use of a body of religious sectarian law or foreign law declared void and usages declared to be grounds for impeachment. Declares these provisions apply to Federal courts sitting in diversity jurisdiction. Requires any court that construes this statute must do so in a way to confine the power of Congress and the federal judiciary.",Died in committee.,1,Introduced,,,,1,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Other,HB 2383,2016,Elected,Retention,ORIGINAL: Provides various reports of the supreme court to be posted online AMENDED: Strikes all references to supreme court reports.,Approved with strike all amendment by House Judiciary Committee 2/3/16.,0,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Other,HB 2384,2016,Elected,Retention,Provides probation funding report to be posted by supreme court online.,Approved by Senate Judiciary Committee 3/10/16.,0,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,HB 2421,2012,Elected,Retention,Specifies it is the presiding judge of the *superior court* in *Maricopa County* that may appoint a court commissioner to serve in the tax court.,In House (no committee).,0,Introduced,,,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Qualification & Terms,HB 2424,2011,Elected,Retention,"ORIGINAL: Provides that if county wishes to create a probate court, each judge serving in that court must first demonstrate competence in all areas of probate jurisprudence as prescribed by the supreme court. Establishes a probate advocacy panel to recommend ways to improve the probate system through statutory changes. AMENDED: Removes all references to probate judge qualifications. Establishes a panel that must study ways to improve guardianship and conservatorship laws through statutory changes.",Approved as amended by full Senate 4/19/11. To Governor for approval.,0,Passed Legislature,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Other,HB 2449,2012,Elected,Retention,"Amends existing statute regarding performance audits of state administrative office of the courts to require, after audio, House and Senate Judiciary Committees meet jointly and conduct hearing on audit.",Approved by full Senate 4/3/12. To Governor for approval.,0,Passed Legislature,,,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2457,2014,Elected,Retention,"Renames and revises authorization for homeless courts to allow for creation of homeless, veterans, or mental health courts in justice or municipal courts.",Approved by full Senate 4/9/14. To Governor for approval.,0,Passed Legislature,,,,,,AZ2014,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2459,2013,Elected,Retention,Revises state Justice of the Peace and Municipal Courts. Renames the title Justices of the Peace and Other Courts Not of Record to Justice and Municipal Courts. Permits a digital seal to be used as the official court seal. Conforms the oath of jury to the modern oath used in courts. Specifies that the Municipal Court magistrate is required to maintain and dispose of all documents filed with the court as prescribed by the Supreme Court.,Approved by full House 6/13/13. To Governor for signature.,0,Passed Legislature,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Qualification & Terms,HB 2465,2013,Elected,Retention,Requires attorneys on medical malpractice cases be trained in the field and certified by supreme court. Requires judges in medical malpractice cases be certified as a medical malpractice attorneys.,In House Judiciary Committee.,0,Introduced,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Qualification & Terms,HB 2466,2013,Elected,Retention,"Requires all judges receive training in posttraumatic stress disorder, including specific information on active and nonactive duty military personnel suffering from posttraumatic stress disorder.","Rejected by House Public Safety, Military and Regulatory Affairs Committee 2/20/13.",1,Introduced,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Rule Making Authority,HB 2466,2016,Elected,Retention,Adopts Electronic Legal Material Act,In House (no committee).,0,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2474,2017,Elected,Retention,Creates Veterans Courts in every Superior Court.,In House Judiciary Committee.,0,Introduced,,,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Rule Making Authority,HB 2480,2013,Elected,Retention,Provides Supreme Court to license attorneys. Provides no attorney is required to join the bar association or other organization to practice law.,In House Judiciary Committee.,0,Introduced,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Other,HB 2516,2013,Elected,Retention,"Permits an officer acting in an official capacity to carry a firearm into the Arizona Supreme Court, court of appeals, superior courts, justice courts and municipal courts. Requires on-duty peace officers to carry official peace officer identification while attending court. Allows a presiding judge to establish rules or policies consistent with laws pertaining to the carrying of firearms by peace officers.",Approved by full House 5/1/13. To Governor for signature.,1,Passed Legislature,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,HB 2534,2017,Elected,Retention,"Ends merit selection of judges in state. Requires partisan election for Supreme Court, Court of Appeals, and Superior Courts. Reduces judges’ terms in office to 2 years (from 4-6 years). Contingent on constitutional amendment being adopted.",In House Appropriations Committee.,1,Introduced,,,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2537,2016,Elected,Retention,Expands supreme court from 5 to 7 members.,Approved by Senate Government Committee 3/16/16.,1,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Structure Changes,HB 2554,2016,Elected,Retention,Requires creation of veterans courts and provides for mandatory referrals of cases to the program.,In House (no committee).,1,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HB 2582,2011,Elected,Retention,"Enacts the ""Arizona Foreign Decisions Act"" Declares the acceptance of Arizona into the Union was a ""compact"". Declares ""Congress has no authority to preempt state regulation of state courts."" Prohibits courts from implementing, referring or incorporating or using ""a tenet of any body of religious sectarian law"" and specifically includes sharia law, canon law, halacha and karma, but exempts decisions based on Anglo-American legal tradition, laws or case law from Great Britain prior enactment of the statute, or the definition of marriage as between one man and one woman, ""and the principles on which the United States was founded."" Prohibits use of any case law or statute from a non-U.S. jurisdiction or ""foreign body"", including the United Nations. Decisions that make use of a body of religious sectarian law or foreign law declared void and usages declared to be grounds for impeachment. Declares these provisions apply to Federal courts sitting in diversity jurisdiction. Requires any court that construes this statute must do so in a way to confine the power of Congress and the federal judiciary.",Held again by House Rules Committee 3/14/11.,1,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,HB 2600,2013,Elected,Retention,Provides merit selection commissions must provide governor at least 5 names (constitution says at least 3 names) to fill a judicial vacancy.,Approved by full Senate 4/4/13. To Governor for approval.,0,Passed Legislature,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Other,HB 2603,2012,Elected,Retention,Provides financial disclosure statements by judges need not be put online by secretary of state.,Approved by House Commerce Committee 2/15/12.,1,Introduced,,,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Rule Making Authority,HB 2628,2008,Elected,Retention,"Permits the presiding judge of a trial court to order the court a no-carry zone for firearms, even if the person has a valid concealed carry permit.",Held by House Judiciary committee,0,Introduced,,,,,,AZ2008,-0.154386743,,0.1235,0.298,1,,1,0.277886743,0,0.277886743
Arizona,AZ,Rule Making Authority,HB 2629,2015,Elected,Retention,Establishes the Supreme Court as the entity responsible for licensing attorneys for the practice of law in Arizona and specifies membership of any organization is not required for attorneys to become or remain a licensed attorney in Arizona.,Rejected by full House 3/11/2015. Motion to reconsider approved 3/12/2015.,0,Introduced,,,,,,AZ2015,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Salary & Budget,HB 2713,2011,Elected,Retention,Ends state Elected Officials Retirement Plan (EORP) for judges and others elected after 2012. Replaces with elected officials defined contribution retirement system.,In House Employment and Regulatory Affairs Committee.,0,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Salary & Budget,HB 2745,2012,Elected,Retention,Closes enrollment in the Elected Officials Retirement Plan (EORP) and the Arizona State Retirement System (ASRS) in 2013 and establishes a voluntary defined contribution retirement system for state employees.,Approved by f Senate Finance Committee 3/15/12.,0,Introduced,,,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HB 3913,2008,Elected,Retention,"Prohibits, a court from citing or basing its determination on a resolution, ruling, policy, law or determination of any kind made by a foreign nation, an international court of justice or criminal court or other similar international or multinational body, the United Nations, or an agreement between an individual, head of state, entity or political subdivision of a state and a foreign nation. Excludes from the prohibition determinations made pursuant to U.S. treaties.",Approved by the House Judiciary committee,1,Introduced,,,,,,AZ2008,-0.154386743,,0.1235,0.298,1,,1,0.277886743,0,0.277886743
Arizona,AZ,Rule Making Authority,HCM 2002,2016,Elected,Retention,Urges Supreme Court to modify its rules related to the State Bar of Arizona to ensure the protection of First Amendment freedoms.,Approved by Senate Government Committee 3/16/16.,0,introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Rule Making Authority,HCM 2003,2016,Elected,Retention,Urges Supreme Court to establish improved transparency measures with respect to the expenditure of State Bar of Arizona member dues.,In House (no committee).,0,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HCR 2001 (Constitutional Amendment),2009,Elected,Retention,"Grants Superior Court original jurisdiction over ""Annulment and dissolution of marriage"" (currently reads ""Divorce and for Annulment of marriage."")",Died when legislature adjourned 7/1/09.,0,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Selection,HCR 2002 (Constitutional Amendment),2015,Elected,Retention,"Requires judges in retention elections receive a 60% ""yes"" vote to remain in office.",Prefiled.,1,Introduced,,,,1,,AZ2015,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HCR 2003 (Constitutional Amendment),2010,Elected,Retention,"Grants Superior Court original jurisdiction over ""Annulment and dissolution of marriage"" (currently reads ""Divorce and for Annulment of marriage."")",Died in committee.,0,Introduced,,,,,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,HCR 2006,2008,Elected,Retention,"Merit selection threshold raised from counties of 250,000 to counties of 600,000.",Bill failed in House Judiciary committee,1,Introduced,,,,,,AZ2008,-0.154386743,,0.1235,0.298,1,,1,0.277886743,0,0.277886743
Arizona,AZ,Selection,HCR 2006 (Constitutional Amendment),2015,Elected,Retention,"For counties/courts that use merit selection, allows legislature to remove judge from office with 2/3rds vote without need to demonstrate cause or impeachable offense.",Prefiled.,1,Introduced,,,,,,AZ2015,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,HCR 2010 (Constitutional Amendment),2013,Elected,Retention,"Requires all those seeking elective office except judges be subject to partisan primaries. Provides that where judges are elected, including in yes/no retention elections, judge to self-identify on ballot political party they belong to.",In House (no committee).,0,Introduced,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HCR 2013 (Constitutional Amendment),2011,Elected,Retention,"Grants Superior Court original jurisdiction over ""Annulment and dissolution of marriage"" (currently reads ""Divorce and for Annulment of marriage."")",In House (no committee).,0,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Qualification & Terms,HCR 2016 (Constitutional Amendment),2009,Elected,Retention,Extends mandatory retirement age for judges from 70 to 75.,Died when legislature adjourned 7/1/09.,0,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HCR 2016 (Constitutional Amendment),2016,Elected,Retention,"Grants Superior Court original jurisdiction over ""Annulment and dissolution of marriage"" (currently reads ""Divorce and for Annulment of marriage."")",In House (no committee).,0,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,HCR 2019 (Constitutional Amendment),2009,Elected,Retention,Requires judges or justices selected by governor under states merit selection system be subject to senate confirmation. Judges who win in retention elections would still require senate confirmation at the senates discretion.,Died when legislature adjourned 7/1/09.,1,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Selection,HCR 2020 (Constitutional Amendment),2011,Elected,Retention,Ends merit selection system. Allows governor to fill judicial vacancies subject to senate confirmation. Provides that judges must be reappointed and reconfirmed at end of terms.,In House (no committee).,1,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,HCR 2024,2008,Elected,Retention,"Merit selection threshold raised from counties of 250,000 to counties of 600,000.",Rejected by full House,1,Introduced,,,,,,AZ2008,-0.154386743,,0.1235,0.298,1,,1,0.277886743,0,0.277886743
Arizona,AZ,Selection,HCR 2026 (Constitutional Amendment),2011,Elected,Retention,"Merit selection threshold raised from counties of 250,000 to counties of 500,000.",In House (no committee).,1,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,HCR 2028 (Constitutional Amendment),2016,Elected,Retention,Ends merit selection of judges. Requires all judges be elected in presidential election years.,Approved by House Appropriations Committee 2/24/16.,1,Introduced,,,,,,AZ2016,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,HCR 2030 (Constitutional Amendment),2017,Elected,Retention,"Ends merit selection of judges in state. Requires partisan election for Supreme Court, Court of Appeals, and Superior Courts. Reduces judges’ terms in office to 2 years (from 4-6 years).",In House Appropriations Committee.,1,Introduced,,,,,,AZ2017,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,HCR 2033 (Constitutional Amendment),2011,Elected,Retention,"Provides states courts shall not consider, enforce or otherwise incorporate into any decision on the merits the legal precepts of other nations or cultures that run counter to the laws of this state unless expressly ratified by bicameralism and presentment in the state legislature or duly ratified as a treaty by the Senate of the United States. Provides state courts shall uphold and adhere to the law as provided in the United States Constitution, the Constitution of this state, The United States Code, federal regulations adopted pursuant to the United States code, established common law, the laws of this state and rules adopted pursuant to the laws of this state and, if necessary, the laws of another state of the United States provided the law of the other state does not incorporate directly or by reference international law or the precepts of nations or cultures.",In House (no committee).,1,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,HCR 2037 (Constitutional Amendment),2010,Elected,Retention,"Provides Supreme Court to name presiding judge of Superior Court only in counties above 800,000 people (currently, Supreme Court names all presiding judges). Presiding judges in counties below 800,000 to be elected by county electors. Requires Superior Court judges be elected by county electors in counties over 800,000. Provides vacancies to be filled by County Board of Supervisors (currently Governor fills). Retains merit selection commission for appellate courts, but requires all applicants be submitted to governor in rank order based on merit. Provides appellate judges will remain subject to yes/no retention votes. Includes judicial races in states public financing program. Sets spending limits for Superior Court candidates as equal to that for a candidate for the legislature and for presiding judge the same as Mine Inspector. Requires publicity pamphlet be created and distributed prior to elections and that all statements and comments filed with the secretary of state under 300 words be included.",Died in committee.,1,Introduced,,,,,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Structure Changes,HCR 2041,2011,Elected,Retention,Creates statewide drug and alcohol treatment district for the purpose of supplementing legislative appropriations. District board authorized to use funds for drug courts and other similar programs via liquor luxury tax. Initiative to be referred to voters.,In House Committee on Ways and Means.,0,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,HCR 2063,2008,Elected,Retention,Ends merit selection for Superior Court judges. Replaces with direct nonpartisan elections. Places Superior Court elections in state public financing system with funding to come from fines assessed on criminal convictions. (see ARIZONA SCR 1021),Reported favorably by Appropriations committee.  Amended by Rules committee,1,Introduced,,,,,,AZ2008,-0.154386743,,0.1235,0.298,1,,1,0.277886743,0,0.277886743
Arizona,AZ,Jurisdiction,SB 1026,2010,Elected,Retention,"Enacts the ""Arizona Foreign Decisions Act"" Declares the acceptance of Arizona into the Union was a ""compact"". Declares ""Congress has no authority to preempt state regulation of state courts."" Prohibits courts from implementing, referring or incorporating or using ""a tenet of any body of religious sectarian law"" and specifically includes sharia law, canon law, halacha and karma, but exempts decisions based on Anglo-American legal tradition, laws or case law from Great Britain prior enactment of the statute, or the definition of marriage as between one man and one woman, ""and the principles on which the United States was founded."" Prohibits use of any case law or statute from a non-U.S. jurisdiction or ""foreign body"", including the United Nations. Decisions that make use of a body of religious sectarian law or foreign law declared void and usages declared to be grounds for impeachment. Declares these provisions apply to Federal courts sitting in diversity jurisdiction. Requires any court that construes this statute must do so in a way to confine the power of Congress and the federal judiciary.",Died in committee.,1,Introduced,,,,,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Salary & Budget,SB 1028,2009,Elected,Retention,"AS AMENDED: Requires a majority of the justices of the peace of the county to endorse the state aid funding allocation plan before it is submitted to the Arizona Supreme Court. Changes, in a county with a population of less than 1,500,000 persons, the payment of the compensation and employee related expenditures of a justice of the peace.     ",Died when legislature adjourned 7/1/09.,0,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Salary & Budget,SB 1032,2013,Elected,Retention,Prohibits a city or town from transferring monies from a municipal court to any other department after the final budget has been adopted unless the governing body of a city or town approves the transfer.,Approved by full Senate 2/28/13.,0,Introduced,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,SB 1042,2009,Elected,Retention,Specifies it is the presiding judge of the *superior court* in *Maricopa County* that may appoint a court commissioner to serve in the tax court.,Died when legislature adjourned 7/1/09.,0,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Selection,SB 1053,2009,Elected,Retention,Requires judicial and other candidates provide proof of citizenship prior to seeking office/seeking to be retained in office.,Died when legislature adjourned 7/1/09.,1,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Salary & Budget,SB 1073,2009,Elected,Retention,Repeals supreme court`s authority to increase certain justice court fees based on average consumer price index.,Died when legislature adjourned 7/1/09.,1,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Other,SB 1073,2015,Elected,Retention,Allows former judges to request that certain records containing personal information be restricted from public access.,Approved by full Senate 3/24/15.,,Introduced,,,,,,AZ2015,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Selection,SB 1075,2010,Elected,Retention,Specifies it is the presiding judge of the *superior court* in *Maricopa County* that may appoint a court commissioner to serve in the tax court.,In House Rules Committee.,0,Introduced,,,,,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,SB 1081,2010,Elected,Retention,"Establishes statutory guidelines for filling vacancies for nonattorney members on trial court appointment commissions. Requires the commission to notify the member of the board of supervisors from the district where the vacancy will occur at least 90 days before term expiration of a nonattorney member on the commission. Requires the member of the board of supervisors from the district where the vacancy will occur to appoint a nominating committee of seven members who reside in the district. Requires the nominating committee, within 21 days of appointment, to provide public notice that a vacancy on the trial court appointments commission exists and to solicit applications. Specifies that within 60 days after providing public notice of a vacancy, the nominating committee is to review and forward the applications, including the committees recommendations, to the Governor. Requires the Governor to appoint a member as provided by law, subject to confirmation by the Senate.",Signed into law by Governor 5/6/10.,0,Enacted,,2010-05-06T00:00:00Z,,,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Selection,SB 1093,2009,Elected,Retention,Specifies it is the presiding judge of the *superior court* in *Maricopa County* that may appoint a court commissioner to serve in the tax court.,Died when legislature adjourned 7/1/09.,0,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Structure Changes,SB 1100,2010,Elected,Retention,"Allows, rather than requires, counties to appoint additional judges for every 30,000 inhabitants.",Signed into law by Governor 5/6/10.,0,Enacted,,2010-05-06T00:00:00Z,,,,AZ2010,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Jurisdiction,SB 1112,2013,Elected,Retention,Prohibits state judges and jurors from enforcing federal firearms laws.,Approved by Senate Public Safety Committee 1/30/13.,1,Introduced,,,,,,AZ2013,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Qualification & Terms,SB 1129,2011,Elected,Retention,Requires court commissioners have resided and been a members of the Arizona state bar for at least five years prior to appointment.,In Senate Committee on Judiciary.,1,Introduced,,,,,,AZ2011,0.236273726,0.748,0.6985,0.562,1,0,1,0.325726274,0,0.325726274
Arizona,AZ,Rule Making Authority,SB 1140,2009,Elected,Retention,Repeals supreme courts authority to increase certain justice court fees based on average consumer price index.  ,Died when legislature adjourned 7/1/09.,1,Introduced,,,,,,AZ2009,0.040943492,,0.1235,0.298,0,,0,0,0,0
Arizona,AZ,Structure Changes,SB 1152,2012,Elected,Retention,Authorizes but does not require creation of homeless courts as divisions of existing courts.,Approved by House Judiciary Committee 3/15/12.,0,Introduced,,,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
Arizona,AZ,Jurisdiction,SB 1152,2012,Elected,Retention,Establishes a homeless court and homeless court jurisdiction.,Signed into law by Governor 4/4/12.,0,Enacted,,2012-04-04T00:00:00Z,,,,AZ2012,0.236273726,,0.732,0.608,0,,0,0,0,0
